name,business_type,black_owned,ratings,chill_score,activity_type,weekend_only,business_url,social_media.instagram,social_media.twitter,social_media.facebook,social_media.other,location.location,location.address,location.metro,location.state,location.longitude,location.latitude
2 Neighbors Hot Chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/2neighborshotchicken/,,,https://www.instagram.com/2neighborshotchicken/,DeSoto,,DFW,Texas,,
3d daiquiri bar and grill ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/3d_daiquiribar/?hl=en,,,https://www.instagram.com/3d_daiquiribar/?hl=en,South Dallas,,DFW,Texas,,
addis ababa ethiopian restaurant ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/AddisAbabaEthiopianRestaurantDFW/,https://www.facebook.com/AddisAbabaEthiopianRestaurantDFW/,Richardson,,DFW,Texas,,
arif café ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.yelp.com/biz/arif-cafe-dallas,Lake Highlands,,DFW,Texas,,
aunt irene's kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/auntireneskitchen/,,,https://www.instagram.com/auntireneskitchen/,South Dallas,,DFW,Texas,,
baby back shak ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/babybackshak/,,,https://www.instagram.com/babybackshak/,Cedars,,DFW,Texas,,
BLACKJACK PIZZA ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Dallas-Black-Jack-Pizza-436604479694268/,https://www.facebook.com/Dallas-Black-Jack-Pizza-436604479694268/,South Dallas,,DFW,Texas,,
blends daiquiri lounge ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/blendsdaiquiri/,,,https://www.instagram.com/blendsdaiquiri/,Carrollton,,DFW,Texas,,
blu ice daiquiries ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/bluicedaiquiris/,,,https://www.instagram.com/bluicedaiquiris/,Arlington,,DFW,Texas,,
brickhouse burgers and shakes ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/brickhouseburgers/,,,https://www.instagram.com/brickhouseburgers/,Lake Highlands,,DFW,Texas,,
burgerim ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/burgerim/,,,https://www.instagram.com/burgerim/,Downtown Dallas,,DFW,Texas,,
CAfe Delicious ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/cafedeliciousdallas/,,,https://www.instagram.com/cafedeliciousdallas/,South Dallas,,DFW,Texas,,
CARIBBEAN CABANA ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/caribbeancabanadfw/,,,https://www.instagram.com/caribbeancabanadfw/,Dallas Farmers Market,,DFW,Texas,,
CASA DEL VAGANO ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/casa.delvegano/?hl=en,,,https://www.instagram.com/casa.delvegano/?hl=en,Bishop Arts,,DFW,Texas,,
CAtfish floyd's ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/catfishfloyds/?hl=en,,,https://www.instagram.com/catfishfloyds/?hl=en,South Oak Cliff,,DFW,Texas,,
CAtfish smith ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/catfishsmithdtx/?hl=en,,,https://www.instagram.com/catfishsmithdtx/?hl=en,South Dallas,,DFW,Texas,,
da munchies ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/damunchiesdfw/?hl=en,,,https://www.instagram.com/damunchiesdfw/?hl=en,West Dallaa,,DFW,Texas,,
damian's cajun soul cafe ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/damianscajunsoulcafe/?hl=en,,,https://www.instagram.com/damianscajunsoulcafe/?hl=en,Arlington,,DFW,Texas,,
desta ethiopian ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/destaethiopiankitchen/,,,https://www.instagram.com/destaethiopiankitchen/,Northeast Dallas,,DFW,Texas,,
dj's steakhouse ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/djssteakhouseaddison/,,,https://www.instagram.com/djssteakhouseaddison/,Addison,,DFW,Texas,,
elaine's kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/elaines_kitchen/,,,https://www.instagram.com/elaines_kitchen/,South Dallas,,DFW,Texas,,
evan's bbq and catfish ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Evans-BBQ-Catfish-106545217139,https://www.facebook.com/Evans-BBQ-Catfish-106545217139,DeSoto,,DFW,Texas,,
faye's place ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/fayesplacedallas/,,,https://www.instagram.com/fayesplacedallas/,South Dallas,,DFW,Texas,,
fluffy's chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/fluffyschicken/,,,https://www.instagram.com/fluffyschicken/,Cedar Hill,,DFW,Texas,,
fred's philly cheesesteaks ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/groups/50632633094/about,https://www.facebook.com/groups/50632633094/about,"Arlington, Carrollton, Plano",,DFW,Texas,,
gojo ethiopian ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/gojoethiopian/?hl=en,,,https://www.instagram.com/gojoethiopian/?hl=en,Richardson,,DFW,Texas,,
hall's honey fried chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/hallshoneyfriedchickendtx/?hl=en,,,https://www.instagram.com/hallshoneyfriedchickendtx/?hl=en,Medical District,,DFW,Texas,,
hardeman's bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/hardemansbbq_dallastx/,,,https://www.instagram.com/hardemansbbq_dallastx/,Oak Cliff,,DFW,Texas,,
Ibex ethiopian cuisine & bar ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/pages/IBEX-Ethiopian-Cuisine-and-Bar/181009151937544,https://www.facebook.com/pages/IBEX-Ethiopian-Cuisine-and-Bar/181009151937544,Far North Dallas,,DFW,Texas,,
INVASIONs ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/eatinvasion/,,,https://www.instagram.com/eatinvasion/,Old East Dallas,,DFW,Texas,,
the island spot ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/theislandspot/,,,https://www.instagram.com/theislandspot/,Oak Cliff,,DFW,Texas,,
itso vegan ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/itsovegan/,,,https://www.instagram.com/itsovegan/,Grand Prairie,,DFW,Texas,,
jamaica gates ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/jamaicagatescaribbeancuisine/,,,https://www.instagram.com/jamaicagatescaribbeancuisine/,Arlington,,DFW,Texas,,
jazzy joint ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/1jazzyjoint/,,,https://www.instagram.com/1jazzyjoint/,South Oak Cliff,,DFW,Texas,,
kendall karsen's upscale soul food ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/kendallkarsensupscale/,,,https://www.instagram.com/kendallkarsensupscale/,Oak Cliff,,DFW,Texas,,
kooly's bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/koolysbbq/,,,https://www.instagram.com/koolysbbq/,South Dallas,,DFW,Texas,,
lalibela ethiopian restaurant ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/lalibela_ethiopian_restaurant/,,,https://www.instagram.com/lalibela_ethiopian_restaurant/,Far North Dallas,,DFW,Texas,,
lèa-lèa's daiquiri spot ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Lèa-Lèas-Daiquiri-Spot-300916583868477/,https://www.facebook.com/Lèa-Lèas-Daiquiri-Spot-300916583868477/,Far North Dallas,,DFW,Texas,,
low country cuisine ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/lowcountryquisine/,,,https://www.instagram.com/lowcountryquisine/,Farmers Branch,,DFW,Texas,,
marrosso cafe ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/marrosso_cafe/,,,https://www.instagram.com/marrosso_cafe/,North Dallas,,DFW,Texas,,
ms. mary's southern kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/msmaryssk,https://www.facebook.com/msmaryssk,Carrollton,,DFW,Texas,,
odom's bar-b-que ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/pages/Odom%27s%20BBQ/111597208876479/,https://www.facebook.com/pages/Odom%27s%20BBQ/111597208876479/,West Dallas,,DFW,Texas,,
one love lounge ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/onelovelounge/,,,https://www.instagram.com/onelovelounge/,Arlington,,DFW,Texas,,
pangea restaurant and bar ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/pangeadallas/,,,https://www.instagram.com/pangeadallas/,Garland,,DFW,Texas,,
queen of sheba ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thequeenofshebarestaurant/,,,https://www.instagram.com/thequeenofshebarestaurant/,North Dallas,,DFW,Texas,,
Recipe ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/recipeoakcliff/?hl=en,,,https://www.instagram.com/recipeoakcliff/?hl=en,Oak Cliff,,DFW,Texas,,
Records barbeque ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/records_bbq/?hl=en,,,https://www.instagram.com/records_bbq/?hl=en,South Dallas,,DFW,Texas,,
Roots southern table ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/rootssouthtable/?hl=en,,,https://www.instagram.com/rootssouthtable/?hl=en,Farmers Branch,,DFW,Texas,,
Royal's fried chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Royals-Fried-Chicken-1038137556225307/,https://www.facebook.com/Royals-Fried-Chicken-1038137556225307/,Cedar Hill,,DFW,Texas,,
Rudy's chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Rudys-Chicken-60859539026/,https://www.facebook.com/Rudys-Chicken-60859539026/,South Dallas,,DFW,Texas,,
sankofa kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sankofa_kitchen/,,,https://www.instagram.com/sankofa_kitchen/,South Oak Cliff,,DFW,Texas,,
savorite's southern cuisine ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/savorite_tx/,,,https://www.instagram.com/savorite_tx/,Plano,,DFW,Texas,,
shark's fish and chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sharksfishandchicken/,,,https://www.instagram.com/sharksfishandchicken/,Lake Highlands,,DFW,Texas,,
sheba's ethiopian kitchen ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/Shebas-Ethiopian-Kitchen-238012822910728/,https://www.facebook.com/Shebas-Ethiopian-Kitchen-238012822910728/,North Dallas,,DFW,Texas,,
shebelle ethiopian cuisine & bar ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/shebelledallas/,https://www.facebook.com/shebelledallas/,Richardson,,DFW,Texas,,
shells and tails 2 geaux ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/shellsandtails2geaux/?hl=en,,,https://www.instagram.com/shellsandtails2geaux/?hl=en,DeSoto,,DFW,Texas,,
sirg wings-n-more ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sirgwingsnmore/?hl=en,,,https://www.instagram.com/sirgwingsnmore/?hl=en,DeSoto,,DFW,Texas,,
skew u ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.yelp.com/biz/skew-u-cedar-hill-3,Dallas (food truck),,DFW,Texas,,
smoke-a-holics ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smokeaholicsbbq/,,,https://www.instagram.com/smokeaholicsbbq/,Fort Worth,,DFW,Texas,,
smokey d'z bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smkydzbbq/,,,https://www.instagram.com/smkydzbbq/,Duncanville,,DFW,Texas,,
smokey john's bar-b-que and home cooking,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/smokeyjohnsbbq/,,,https://www.instagram.com/smokeyjohnsbbq/,Northwest Dallas,,DFW,Texas,,
snappy catfish ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/snappyjefferson/?hl=en,,,https://www.instagram.com/snappyjefferson/?hl=en,West Dallas,,DFW,Texas,,
southern classic daiquiri factory ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/daiquirifactory/?hl=en,,,https://www.instagram.com/daiquirifactory/?hl=en,"Bryan Place, Fort Worth",,DFW,Texas,,
south dallas cafe ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/southdallascaferedbird/,,,https://www.instagram.com/southdallascaferedbird/,South Oak Cliff,,DFW,Texas,,
soutHERN GOURMET KITCHEN ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://southerngourmetkitchens.com/,Plano,,DFW,Texas,,
SOUTHSIDE STEAKS & CAKES,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.southsidesteaksandcakes.com/,South Dallas,,DFW,Texas,,
sweet georgia brown ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/sweetgeorgiabrown_homecooking/,,,https://www.instagram.com/sweetgeorgiabrown_homecooking/,South Dallas,,DFW,Texas,,
tasty's chicken ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tastyschickentx/,,,https://www.instagram.com/tastyschickentx/,Plano,,DFW,Texas,,
ten 01 bistro ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/ten01uptown/,,,https://www.instagram.com/ten01uptown/,Uptown,,DFW,Texas,,
the breakfast bar ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,https://www.yelp.com/biz/the-breakfast-bar-dallas-3,South Dallas,,DFW,Texas,,
the coaches box ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thecoachesbox/,,,https://www.instagram.com/thecoachesbox/,Duncanville,,DFW,Texas,,
the roux ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/dipintotheroux4u/,,,https://www.instagram.com/dipintotheroux4u/,Arlington,,DFW,Texas,,
the stuffed potato kitchen,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thestuffedpotatokitchen/,,,https://www.instagram.com/thestuffedpotatokitchen/,South Dallas,,DFW,Texas,,
thibodeaux's authentic cajun cooking ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thibodeauxscajuncookin/,,,https://www.instagram.com/thibodeauxscajuncookin/,Duncanville,,DFW,Texas,,
tj's catfish & wings ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tjscatfishandwings/,,,https://www.instagram.com/tjscatfishandwings/,Arlington,,DFW,Texas,,
true kitchen + kocktails ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/kitchenkocktailsdallas/?hl=en,,,https://www.instagram.com/kitchenkocktailsdallas/?hl=en,Downtown Dallas,,DFW,Texas,,
tu bones bbq ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/tubonesbbq/,,,https://www.instagram.com/tubonesbbq/,Frisco,,DFW,Texas,,
turkey d.a.m ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/turkeyd.a.m/,,,https://www.instagram.com/turkeyd.a.m/,Uptown ,,DFW,Texas,,
turkey leg paradise ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/turkeylegparadise/,,,https://www.instagram.com/turkeylegparadise/,Cedars,,DFW,Texas,,
tx bbq and burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,,,https://www.facebook.com/TXBBQSMOKED/,https://www.facebook.com/TXBBQSMOKED/,Northwest Dallas,,DFW,Texas,,
two podners ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/twopodners/?hl=en,,,https://www.instagram.com/twopodners/?hl=en,Fair Park,,DFW,Texas,,
vegan food house ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/houseofveganfood/?hl=en,,,https://www.instagram.com/houseofveganfood/?hl=en,Oak Cliff,,DFW,Texas,,
vegan vibrationz ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/veganvibrationz/,,,https://www.instagram.com/veganvibrationz/,Dallas Farmers Market,,DFW,Texas,,
WEST JAX CIGARS & SPIRITS ,RESTAURANTS / food trucks / catering,True,,,,False,,,,,http://westjaxcigars.com/,Fort Worth,,DFW,Texas,,
wingfield's burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/wingfields/,,,https://www.instagram.com/wingfields/,Oak Cliff,,DFW,Texas,,
wings world ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/thewingsworld/,,,https://www.instagram.com/thewingsworld/,Oak Cliff,,DFW,Texas,,
yenat guada ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/yenat_guada/,,,https://www.instagram.com/yenat_guada/,Lake Highlands,,DFW,Texas,,
v-eats ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/veatsdallas/,,,https://www.instagram.com/veatsdallas/,West Dallas,,DFW,Texas,,
whiskers fish & burgers ,RESTAURANTS / food trucks / catering,True,,,,False,,https://www.instagram.com/whiskersfishburgers/,,,https://www.instagram.com/whiskersfishburgers/,West Dallas,,DFW,Texas,,
